N,List
5000,2515503
10000,3697732
15000,1849869
20000,277495
25000,230591
30000,299592
35000,274143
40000,348467
45000,279414
50000,382800
55000,564227
60000,489859
65000,441522
70000,510200
75000,642499
80000,508202
85000,675596
90000,611809
95000,866318
100000,760001
105000,892618
110000,871441
115000,1034137
120000,1160396
125000,980262
130000,1033521
135000,1006499
140000,1283083
145000,1230292
150000,1167799
155000,1159498
160000,1478042
165000,1206743
170000,1425621
175000,1196114
180000,1379087
185000,1774215
190000,1346519
195000,1820885
200000,1411119
205000,1883484
210000,1728049
215000,2063458
220000,1659038
225000,1732488
230000,2029407
235000,1772722
240000,2048100
245000,1730510
250000,2354136
255000,1780948
260000,2010022
265000,1949072
270000,1873646
275000,1980071
280000,2189384
285000,2070287
290000,2251215
295000,2559807
300000,2814796
305000,2453660
310000,2041733
315000,2516711
320000,2293417
325000,2643062
330000,2987313
335000,2824365
340000,2704374
345000,2351349
350000,3028327
355000,3124679
360000,2336476
365000,3374628
370000,3042093
375000,2727776
380000,2799715
385000,2792467
390000,2860478
395000,2500789
400000,2994461
405000,3775637
410000,2701977
415000,3124968
420000,3405040
425000,3478171
430000,3861069
435000,2971760
440000,3087120
445000,2806537
450000,4345380
455000,4130547
460000,3336474
465000,3572927
470000,3860463
475000,3522178
480000,3555285
485000,3027593
490000,4539986
495000,4023056
500000,4012690
505000,3443659
510000,4438024
515000,4676936
520000,3604407
525000,4890163
530000,4830007
535000,4119479
540000,4186948
545000,4796781
550000,5069867
555000,5108911
560000,3936477
565000,4719222
570000,4290822
575000,5078348
580000,3585684
585000,4147992
590000,5036165
595000,3877287
600000,4909705
605000,5157897
610000,4027838
615000,6471195
620000,4225927
625000,5201859
630000,3987770
635000,4532642
640000,4827471
645000,4846507
650000,5422993
655000,4022296
660000,6116910
665000,5505384
670000,4393316
675000,5868766
680000,5096350
685000,5452382
690000,4576420
695000,7118920
700000,5498292
705000,6556917
710000,4530804
715000,5255463
720000,6691432
725000,5010703
730000,5480837
735000,6075874
740000,6915311
745000,5885212
750000,5657075
